(825,263)
(864,264)
(909,263)
(955,263)
(997,259)
(1040,260)
(1087,263)
(1125,264)
(1169,263)
(823,305)
(864,304)
(908,304)
(953,304)
(1000,304)
(1040,303)
(1082,305)
(1125,306)
(1169,308)
(824,347)
(864,352)
(907,349)
(953,350)
(998,353)
(1039,350)
(1089,347)
(1130,349)
(1170,351)
(823,395)
(867,395)
(912,395)
(954,393)
(996,394)
(1040,396)
(1084,393)
(1123,395)
(1168,396)
(823,439)
(866,436)
(907,436)
(952,436)
(998,440)
(1042,437)
(1086,441)
(1131,439)
(1175,438)
(821,483)
(865,484)
(912,483)
(957,483)
(998,485)
(1042,479)
(1086,480)
(1130,481)
(1171,482)
(821,526)
(869,528)
(908,524)
(955,526)
(996,526)
(1041,526)
(1083,527)
(1122,527)
(1169,521)
(826,572)
(868,571)
(906,570)
(955,573)
(998,572)
(1044,571)
(1087,570)
(1125,567)
(1170,570)
(821,614)
(861,614)
(910,614)
(952,614)
(998,613)
(1041,615)
(1084,610)
(1125,618)
(1169,617)


(869,695)
(927,693)
(989,693)
(1057,693)
(1120,692)
(873,750)
(925,750)
(1001,755)
(1063,755)
(1125,751)
(1013,69)
