(35,156)
(74,157)
(119,156)
(165,156)
(207,152)
(250,153)
(297,156)
(335,157)
(379,156)
(33,198)
(74,197)
(118,197)
(163,197)
(210,197)
(250,196)
(292,198)
(335,199)
(379,201)
(34,240)
(74,245)
(117,242)
(163,243)
(208,246)
(249,243)
(299,240)
(340,242)
(380,244)
(33,288)
(77,288)
(122,288)
(164,286)
(206,287)
(250,289)
(294,286)
(333,288)
(378,289)
(33,332)
(76,329)
(117,329)
(162,329)
(208,333)
(252,330)
(296,334)
(341,332)
(385,331)
(31,376)
(75,377)
(122,376)
(167,376)
(208,378)
(252,372)
(296,373)
(340,374)
(381,375)
(31,419)
(79,421)
(118,417)
(165,419)
(206,419)
(251,419)
(293,420)
(332,420)
(379,414)
(36,465)
(78,464)
(116,463)
(165,466)
(208,465)
(254,464)
(297,463)
(335,460)
(380,463)
(31,507)
(71,507)
(120,507)
(162,507)
(208,506)
(251,508)
(294,503)
(335,511)
(379,510)
